"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年02月21日"

"","","","","/項目 コード","F1102","F1107"
"調査年 コード","調査年","地域 コード","地域","/項目","F1102_就業者数【人】","F1107_完全失業者数【人】"
"1980100000","1980年度","11000","埼玉県","","2,459,243","51,594"
"1980100000","1980年度","12000","千葉県","","2,158,483","45,424"
"1980100000","1980年度","13000","東京都","","5,672,052","157,972"
"1980100000","1980年度","14000","神奈川県","","3,142,295","78,378"
"1980100000","1980年度","15000","新潟県","","1,272,237","19,897"
"1980100000","1980年度","16000","富山県","","575,495","9,802"
"1980100000","1980年度","17000","石川県","","567,684","9,844"
"1980100000","1980年度","18000","福井県","","425,313","6,770"
"1980100000","1980年度","19000","山梨県","","398,660","7,626"
"1980100000","1980年度","20000","長野県","","1,111,605","13,884"
"1980100000","1980年度","21000","岐阜県","","990,009","14,622"
"1980100000","1980年度","22000","静岡県","","1,743,584","34,809"
"1980100000","1980年度","23000","愛知県","","3,048,896","56,722"
"1980100000","1980年度","24000","三重県","","811,829","17,959"
"1980100000","1980年度","25000","滋賀県","","520,211","8,841"
"1980100000","1980年度","26000","京都府","","1,186,455","31,336"
"1980100000","1980年度","27000","大阪府","","3,811,047","130,417"
"1980100000","1980年度","28000","兵庫県","","2,310,722","68,955"
"1980100000","1980年度","29000","奈良県","","517,780","11,571"
"1980100000","1980年度","30000","和歌山県","","499,416","14,764"
"1980100000","1980年度","31000","鳥取県","","323,333","6,083"
"1980100000","1980年度","32000","島根県","","415,310","6,362"
"1980100000","1980年度","33000","岡山県","","924,525","21,477"
"1980100000","1980年度","34000","広島県","","1,326,783","32,113"
"1980100000","1980年度","35000","山口県","","767,930","19,883"
"1980100000","1980年度","36000","徳島県","","404,614","13,747"
"1980100000","1980年度","37000","香川県","","499,372","12,001"
"1980100000","1980年度","38000","愛媛県","","715,421","21,868"
"1980100000","1980年度","39000","高知県","","414,404","17,453"
"1980100000","1980年度","40000","福岡県","","2,023,297","86,808"
"1980100000","1980年度","41000","佐賀県","","419,548","10,870"
"1980100000","1980年度","42000","長崎県","","702,887","24,512"
"1980100000","1980年度","43000","熊本県","","847,638","25,351"
"1980100000","1980年度","44000","大分県","","581,272","17,121"
"1980100000","1980年度","45000","宮崎県","","558,615","17,255"
"1980100000","1980年度","46000","鹿児島県","","844,029","25,053"
"1980100000","1980年度","47000","沖縄県","","428,729","35,645"
"1975100000","1975年度","01000","北海道","","2,462,411","53,492"
"1975100000","1975年度","02000","青森県","","688,057","19,944"
"1975100000","1975年度","03000","岩手県","","702,574","11,911"
"1975100000","1975年度","04000","宮城県","","923,777","17,327"
"1975100000","1975年度","05000","秋田県","","616,870","11,211"
"1975100000","1975年度","06000","山形県","","626,437","9,678"
"1975100000","1975年度","07000","福島県","","982,838","19,575"
"1975100000","1975年度","08000","茨城県","","1,141,449","18,985"
"1975100000","1975年度","09000","栃木県","","843,465","13,727"
"1975100000","1975年度","10000","群馬県","","872,802","16,874"
"1975100000","1975年度","11000","埼玉県","","2,171,591","43,979"
"1975100000","1975年度","12000","千葉県","","1,882,392","36,951"
"1975100000","1975年度","13000","東京都","","5,619,964","143,678"
"1975100000","1975年度","14000","神奈川県","","2,897,375","71,185"
"1975100000","1975年度","15000","新潟県","","1,246,365","16,204"
"1975100000","1975年度","16000","富山県","","560,400","8,954"
"1975100000","1975年度","17000","石川県","","538,155","9,227"
"1975100000","1975年度","18000","福井県","","409,735","6,124"
"1975100000","1975年度","19000","山梨県","","381,802","6,630"
"1975100000","1975年度","20000","長野県","","1,073,275","13,667"
"1975100000","1975年度","21000","岐阜県","","941,160","12,714"
"1975100000","1975年度","22000","静岡県","","1,644,900","32,403"
"1975100000","1975年度","23000","愛知県","","2,880,985","49,552"
