表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2021100000,2021年度,5000,秋田県,***,"945,000",***,"34,765,897",254757
2021100000,2021年度,6000,山形県,***,"1,055,000",***,"104,978,382",294600
2021100000,2021年度,7000,福島県,***,"1,812,000",***,"112,106,570",462119
2021100000,2021年度,8000,茨城県,***,"2,852,000",***,"100,496,674",718042
2021100000,2021年度,9000,栃木県,***,"1,921,000",***,"161,271,189",594993
2021100000,2021年度,10000,群馬県,***,"1,927,000",***,"139,033,590",526812
2021100000,2021年度,11000,埼玉県,***,"7,340,000",***,"9,506,862",1994383
2021100000,2021年度,12000,千葉県,***,"6,275,000",***,"235,904,934",1871688
2021100000,2021年度,13000,東京都,***,"14,010,000",***,"233,094,202",27853311
2021100000,2021年度,14000,神奈川県,***,"9,236,000",***,"7,956,103",2377632
2021100000,2021年度,15000,新潟県,***,"2,177,000",***,"173,497,044",620469
2021100000,2021年度,16000,富山県,***,"1,025,000",***,"68,601,010",418880
2021100000,2021年度,17000,石川県,***,"1,125,000",***,"56,797,813",388857
2021100000,2021年度,18000,福井県,***,"760,000",***,"45,482,714",235480
2021100000,2021年度,19000,山梨県,***,"805,000",***,"77,375,019",150645
2021100000,2021年度,20000,長野県,***,"2,033,000",***,"161,192,792",454471
2021100000,2021年度,21000,岐阜県,***,"1,961,000",***,"31,052,238",399958
2021100000,2021年度,22000,静岡県,***,"3,608,000",***,"4,675,189",1221010
2021100000,2021年度,23000,愛知県,***,"7,517,000",***,"182,402,920",2833438
2021100000,2021年度,24000,三重県,***,"1,756,000",***,"6,892,585",464890
2021100000,2021年度,25000,滋賀県,***,"1,411,000",***,"63,696,551",453998
2021100000,2021年度,26000,京都府,***,"2,561,000",***,"155,143,506",804664
2021100000,2021年度,27000,大阪府,***,"8,806,000",***,"776,707,810",4964509
